Wavelength (nm),Energy (eV),e1,e2,n,k
891.911011,1.390273,15.304736,0,3.912127,0
893.47998,1.387832,15.295757,0,3.910979,0
895.048706,1.385399,15.286848,0,3.90984,0
896.617371,1.382976,15.278007,0,3.908709,0
898.185913,1.380561,15.269232,0,3.907586,0
899.754272,1.378154,15.260524,0,3.906472,0
901.322449,1.375756,15.251882,0,3.905366,0
902.890503,1.373367,15.243305,0,3.904268,0
904.458496,1.370986,15.234792,0,3.903177,0
906.026245,1.368614,15.226342,0,3.902095,0
907.593933,1.36625,15.217956,0,3.90102,0
909.161438,1.363894,15.209631,0,3.899953,0
910.728821,1.361547,15.201368,0,3.898893,0
912.296021,1.359208,15.193166,0,3.897841,0
913.863098,1.356877,15.185023,0,3.896796,0
915.429993,1.354555,15.17694,0,3.895759,0
916.996765,1.35224,15.168916,0,3.894729,0
918.563354,1.349934,15.16095,0,3.893707,0
920.129883,1.347636,15.153041,0,3.892691,0
921.696289,1.345345,15.145189,0,3.891682,0
923.26239,1.343063,15.137394,0,3.89068,0
924.828491,1.340789,15.129653,0,3.889685,0
926.394409,1.338523,15.121968,0,3.888697,0
927.960144,1.336264,15.114338,0,3.887716,0
929.525757,1.334014,15.106761,0,3.886742,0
931.091187,1.331771,15.099237,0,3.885774,0
932.656555,1.329535,15.091767,0,3.884812,0
934.22168,1.327308,15.084349,0,3.883857,0
935.786621,1.325088,15.076982,0,3.882909,0
937.35144,1.322876,15.069667,0,3.881967,0
938.916199,1.320672,15.062402,0,3.881031,0
940.480774,1.318475,15.055187,0,3.880101,0
942.045105,1.316285,15.048022,0,3.879178,0
943.609375,1.314103,15.040906,0,3.878261,0
945.173523,1.311928,15.033838,0,3.877349,0
946.737427,1.309761,15.026819,0,3.876444,0
948.301147,1.307601,15.019847,0,3.875545,0
949.864868,1.305449,15.012922,0,3.874651,0
951.428345,1.303304,15.006044,0,3.873764,0
952.991577,1.301166,14.999212,0,3.872882,0
954.55481,1.299035,14.992427,0,3.872005,0
956.117798,1.296911,14.985686,0,3.871135,0
957.680664,1.294795,14.97899,0,3.87027,0
959.243347,1.292686,14.972339,0,3.869411,0
960.805969,1.290583,14.965731,0,3.868557,0
962.368286,1.288488,14.959167,0,3.867708,0
963.930542,1.2864,14.952646,0,3.866865,0
965.492554,1.284319,14.946169,0,3.866028,0
967.054504,1.282244,14.939734,0,3.865195,0
968.616211,1.280177,14.93334,0,3.864368,0
970.177856,1.278116,14.926988,0,3.863546,0
971.739258,1.276062,14.920677,0,3.862729,0
973.300476,1.274016,14.914407,0,3.861917,0
974.861633,1.271975,14.908177,0,3.861111,0
976.422546,1.269942,14.901987,0,3.860309,0
977.983398,1.267915,14.895837,0,3.859513,0
979.544067,1.265895,14.889726,0,3.858721,0
